,Alemão,Português
20373,matthias,Matthias
20374,bittere,amargo
20375,kreuzverhör,interrogatório cruz
20376,ortes,"Lugar, colocar"
20377,aw,e
20378,nächtlichen,noite
20379,verschließt,fecha
20380,stießen,empurrado
20381,mätresse,mätresse
20382,lebenskraft,vitalidade
20383,nagus,unhas
20384,lebrac,lebrac
20385,nachdenklich,considerado
20386,messern,facas
20387,pfeiffer,Pfeiffer
20388,dvds,dvds
20389,kurzsichtig,míope
20390,horrorfilm,Filme de terror
20391,fürsorglich,solícito
20392,schmal,estreito
20393,betragen,estar
20394,custer,Custer
20395,weiterentwickelt,avançado
20396,vorlesungen,palestras
20397,beobachtest,assistindo
20398,marnie,marnie
20399,büsche,matagal
20400,bettwäsche,roupa de cama
20401,cove,enseada
20402,abenteurer,aventureiro
20403,area,área
20404,wirds,ele fica
20405,einsen,uns
20406,erstarrt,endurece
20407,schülerinnen,estudantes
20408,dschinn,dschinn
20409,abgespielt,reproduziu
20410,boogie,Boogie
20411,reportage,relatório
20412,rosalee,Rosalee
20413,car,carro
20414,überm,überm
20415,glotze,tubo seio
20416,fotografin,fotógrafo
20417,yellow,amarelo
20418,segelt,Navegando
20419,vicomedia,vicomedia
20420,umkleide,armário
20421,runterlassen,decepcionar
20422,before,antes
20423,lone,solitário
20424,röchelt,Rochele
20425,denkweise,Jeito de pensar
20426,cyborg,cyborg
20427,lektüre,leitura
20428,jean-paul,Jean Paul
20429,karat,quilate
20430,gordo,Gordura
20431,ertrug,ertrug
20432,türklopfen,porta batendo
20433,standest,standest
20434,psychischen,mental
20435,sensei,sensei
20436,unrechtes,injusto
20437,thronfolger,sucessor
20438,vorschnell,precipitadamente
20439,sinnlosen,sem sentido
20440,glut,excesso
20441,albany,Albany
20442,mitbringt,traz
20443,geraden,direto
20444,eröffnete,aberto
20445,skizze,retrato falado
20446,belügt,engana
20447,herstellt,fabrica
20448,forrester,Forrester
20449,sendungen,transmissões
20450,minneapolis,Minneapolis
20451,dans,no
20452,dukat,sucumbido
20453,deserteur,Deserteur
20454,gleichheit,igualdade
20455,goldfisch,peixe-dourado
20456,typischen,típica
20457,entgegenkommen,Conheçer
20458,beobachtungen,observações
20459,janie,janie
20460,verschreckt,assustado
20461,gregson,gregson
20462,praktikanten,Praktikanten
20463,globus,balão
20464,venice,Veneza
20465,bruderherz,querido irmão
20466,riviera,riviera
20467,stammes,tribal
20468,ungnade,desgraça
20469,nemo,ninguém
20470,delgado,magro
20471,comedy,comédia
20472,lorenz,Lorenz
20473,tone,tom
20474,festhält,detém
20475,selbständig,independente
20476,flüchtet,foge
20477,konstruktion,construção
20478,beschwöre,implorar
20479,nestor,nestor
20480,gefühllos,dormente
20481,kayla,kayla
20482,offenem,abrir
20483,quadratmeter,metros quadrados
20484,cardassianischen,cardassianischen
20485,ólafur,Olaf
20486,starbucks,starbucks
20487,notsignal,notsignal
20488,patent,patente
20489,sähen,semear
20490,kleinem,pequena
20491,vielzahl,Variedade
20492,programmierung,programação
20493,künstlerische,artístico
20494,fulton,Fulton
20495,attraktiven,atraente
20496,parallel,paralelo
20497,roulette,roleta
20498,fremdsprache,lingua estrangeira
20499,nachzugehen,perseguir
20500,draufgänger,temerário
20501,herumliegen,mentir sobre
20502,wandschrank,armário
20503,sinneswandel,"ou seja, conversível"
20504,blutverlust,perda de sangue
20505,izzie,Izzie
20506,bleich,pálido
20507,versunken,submerso
20508,hingestellt,Abaixe
20509,hunderttausende,centenas de milhares
20510,aufschlussreich,revelador
20511,fehlerhaft,defeituoso
20512,rainbow,arco-íris
20513,vergeude,desperdício
20514,hah,hah
20515,herrichten,prepare-se
20516,bryant,Bryant
20517,bronson,Bronson
20518,commodus,padrão
20519,innereien,miudezas
20520,biker,biker
20521,kopfüber,cabeça
20522,essenz,essência
20523,erzählung,narrativa
20524,gepisst,pissing
20525,lügendetektor,detector de mentiras
20526,zusage,comprometimento
20527,orchestermusik,orchestermusik
20528,spital,hospital
20529,senkt,abaixa
20530,rowan,sorva
20531,briefmarke,Carimbo
20532,tadellos,impecável
20533,japanischer,japonês
20534,covenant,pacto
20535,jemma,jemma
20536,verkommen,dilapidado
20537,chemotherapie,quimioterapia
20538,pennys,pennys
20539,greendale,Greendale
20540,glänzenden,brilhante
20541,cats,gatos
20542,auftragen,Instrua
20543,heimkehr,regresso a casa
20544,kriterien,critério
20545,chowllye,chowllye
20546,beschnitten,circuncidado
20547,demjenigen,único
20548,haas,Haas
20549,versagte,fracassado
20550,toben,fúria
20551,laufbursche,garoto de recados
20552,batiatus,Batiatus
20553,afrikaner,Afrikaner
20554,aufbleiben,ficar acordado
20555,bankkonten,contas bancárias
20556,drohst,drohst
20557,kaiserschnitt,cesariana
20558,taschentücher,lenços
20559,reily,reily
20560,lakai,vernizes
20561,friedensangebot,oferta de paz
20562,überziehen,cobrir
20563,ortega,sandgrouse
20564,helme,perolado
20565,depot,depósito
20566,wick,pavio
20567,travers,Através dos
20568,zurückdrehen,voltar
20569,geklebt,colados
20570,tunnels,túneis
20571,windig,ventoso
20572,aufgebe,desistir
20573,lieblingsfilm,filme favorito
20574,macdonald,Macdonald
20575,betreuen,procurar
20576,karotte,cenoura
20577,zigeunerin,cigano
20578,vergaser,carburador
20579,rumläuft,rumläuft
20580,zweige,galhos
20581,allahs,Alá
20582,aimee,Aimee
20583,ignacio,ignacio
20584,gewerbe,O negócio
20585,bao,Bolsa
20586,zufällige,acaso
20587,beschämend,vergonhoso
20588,blossom,florescer
20589,wunderkind,Maravilha criança
20590,verteile,distribuir
20591,rupfen,arranca
20592,alba,Branco
20593,reingeraten,puramente cair
20594,präsent,presente
20595,vermieterin,senhoria
20596,hörtest,ouvi
20597,stoned,apedrejado
20598,labors,trabalhos
20599,fallengelassen,derrubado
20600,einar,sozinho
20601,dorian,dórico
20602,nato,então
20603,rausschneiden,recortar
20604,erbschaft,herança
20605,rauschgift,medicamento
20606,basieren,basear
20607,vorsichtsmaßnahmen,Precauções
20608,liang,liang
20609,fromm,De
20610,aneurysma,aneurysmal
20611,cnn,CNN
20612,unehrlich,desonesto
20613,friedlicher,Pacífico
20614,joss,joss
20615,aussehenden,olhando
20616,mikroskop,microscópio
20617,berechnung,Cálculo
20618,krücken,muletas
20619,redewendung,Frase
20620,verantwortungslos,irresponsável
20621,richtest,juiz
20622,dreifache,triplo
20623,beauftragen,instruir
20624,unterhält,entretém
20625,rätselhaft,enigmático
20626,wertschätzung,Apreciação
20627,lausigen,nojento
20628,missverständnisse,mal-entendidos
20629,weggehst,vá embora
20630,geschminkt,Maquiagem
20631,bezirksstaatsanwalt,promotor
20632,geldautomaten,geldautomaten
20633,verhielt,comportado
20634,infiltriert,infiltriert
20635,kati,entre
20636,gelaber,jabbering
20637,pflegerin,enfermeira
20638,strolch,Strolch
20639,ji,mostrar-se
20640,gelehrter,sábio
20641,cheung,cheung
20642,beinhalten,conter
20643,effekte,efeito
20644,eingelebt,assentou
20645,calder,Calder
20646,vandalismus,vandalismo
20647,andersherum,o contrário
20648,fete,garotas
20649,sprühen,spray
20650,kappa,capa
20651,brandneu,novo em folha
20652,leichenwagen,carro fúnebre
20653,autohupe,autohupe
20654,erhöre,ouvir
20655,vorliegt,presente
20656,ducky,ducky
20657,bajoraner,bajoraner
20658,inspizieren,inspecionar
20659,camper,campista
20660,himmlischer,celestial
20661,butterfly,borboleta
20662,tapete,tapete
20663,connell,Connell
20664,hasan,Hasan
20665,saddam,saddam
20666,driscoll,driscoll
20667,palmen,Palmeiras
20668,kip,frango
20669,enthüllung,revelação
20670,fontaine,fonte
20671,zusammengebracht,reuniu
20672,stripperinnen,stripperinnen
20673,rührst,mexer
20674,strömt,flui
20675,rumpelstilzchen,Rumpelstilzchen
20676,dreifach,triplo
20677,durchgehalten,perseverou
20678,renata,renata
20679,goldberg,Goldberg
20680,gaulle,Gaulle
20681,alone,sozinho
20682,köche,cozinheiros
20683,bessie,Bessie
20684,ballerina,bailarina
20685,johnsons,johnsons
20686,gekrönt,coroado
20687,frisör,cabeleireiro
20688,landry,Landry
20689,geräten,dispositivos
20690,marquise,marquesa
20691,groben,duro
20692,massiven,maciço
20693,wurscht,wurscht
20694,goodbye,adeus
20695,darzustellen,mostrar
20696,öffneten,aberto
20697,künftig,futuro
20698,anbeten,adoração
20699,bodyguards,guarda-costas
20700,ebenbild,imagem
20701,nachlässt,subsídios
20702,clarkson,Clarkson
20703,stolperte,Tropeçamos
20704,gerichtsgebäude,tribunal
20705,versuchter,tentada
20706,besuchszeit,tempo de visita
20707,ernennung,encontro
20708,rausgenommen,rausgenommen
20709,starks,Starks
20710,klingonische,klingonische
20711,fasten,prender
20712,behauptungen,alegações
20713,zuchthaus,penitenciária
20714,verwalten,gerir
20715,strafverfolgung,acusação
20716,glühen,brilho
20717,schüssen,comités
20718,terminator,Exterminador do Futuro
20719,millionäre,milionários
20720,charaktere,personagens
20721,kerngesund,se encaixam como um violino
20722,hilflosen,desamparado
20723,reisten,viajei
20724,kleopatra,kleopatra
20725,füller,Tinta de caneta
20726,filmstars,estrelas de cinema
20727,lebenslange,vida
20728,ausfällt,falhar
20729,mitschüler,colega de classe
20730,einfühlsam,confidencial
20731,auszutauschen,intercâmbio
20732,teuflische,demoníaco
20733,tube,tubo
20734,salsa,salsa
20735,elfenbein,marfim
20736,fury,fúria
20737,überzahl,maioria
20738,marias,marias
20739,beruhigung,resseguro
20740,anlassen,começar
20741,medina,medina
20742,vernarrt,vernarrt
20743,sämtlichen,todo
20744,amos,amos
20745,meteor,meteoro
20746,pures,puro
20747,weihnachtsfeier,festa de Natal
20748,banküberfall,assalto a banco
20749,geplanten,planejado
20750,äußersten,externo
20751,versage,falta
20752,entstellt,desfigurado
20753,ip-adresse,endereço de IP
20754,pinkel,Pinkel
20755,winterfell,winterfell
20756,pflegefamilie,família de assistência
20757,rekrut,recrutar
20758,chefredakteur,editor chefe
20759,fasste,resumido
20760,goldie,Goldie
20761,olson,Olson
20762,anwalts,Advogado
20763,wettrennen,raça
20764,molesley,Molesley
20765,gemach,câmara
20766,klingelton,toque
20767,unschädlich,inofensivo
20768,kontakten,contato
20769,undicht,que vaza
20770,zeitlich,cronologicamente
20771,petze,O nível
20772,sowjetische,Soviética
20773,bunte,colorido
20774,karla,homens
20775,jaaa,jaaa
20776,rasierer,navalha
20777,hygiene,higiene
20778,unterbinden,evitar
20779,elternhaus,casa de pais
20780,alyssa,alyssa
20781,eingebuchtet,recortado
20782,kies,escolher
20783,längeren,mais tempo
20784,durchleben,experiência
20785,aufsitzen,monte
20786,umzudrehen,virar
20787,pah,perspectiva
20788,ergriff,tomou
20789,bildfläche,área de visualização
20790,lieblingslied,Música Favorita
20791,vertrauens,confiança
20792,hobbes,hobbes
20793,babysitterin,babysitterin
20794,godfrey,Godfrey
20795,wohlbefinden,bem-estar
20796,gekehrt,virado
20797,prächtige,magnífico
20798,ensemble,juntos
20799,bewerbungsgespräch,Entrevista de emprego
20800,aufbruch,partida
20801,schlafmütze,schlafmütze
20802,abgehen,depart
20803,hetty,hetty
20804,unwissenheit,ignorância
20805,offizielles,oficial
20806,senil,senil
20807,vernachlässigen,neglicenciar
20808,richters,richter
20809,feiertagen,feriados públicos
20810,doktortitel,doktortitel
20811,pd,pd
20812,grünschnabel,novato
20813,erträgst,aguentar
20814,verschworen,jurado
20815,selbstwertgefühl,auto estima
20816,übertreten,violar
20817,cholera,cólera
20818,schulzeit,dias escolares
20819,shana,Shana
20820,rhett,rhett
20821,besiegte,derrotado
20822,nahrungsmittel,Comida
20823,schriftrolle,rolagem
20824,intus,lado de dentro
20825,bono,bono
20826,violette,tolet
20827,geleit,escolta
20828,aeryn,aeryn
20829,intervention,intervenção
20830,stolzen,orgulhoso
20831,inszenierung,Produção
20832,automatik,automático
20833,bewertet,avaliado
20834,ridley,Ridley
20835,bettlaken,Lençol
20836,johnnie,Johnnie
20837,knut,nó
20838,schauspielerinnen,atrizes
20839,schlafsack,Saco de dormir
20840,abschleppwagen,provocador de naufrágios
20841,schläfrig,sonolento
20842,verblassen,desbotando
20843,wait,esperar
20844,selbstgespräche,até fala
20845,drogenhändler,traficante de drogas
20846,mayfield,Mayfield
20847,stockton,Stockton
20848,festnahmen,preso
20849,lock,trancar
20850,bey,governador turco
20851,freudig,Alegre
20852,flegel,Flegel
20853,schornstein,chaminé
20854,inventur,inventário
20855,beaumont,Beaumont
20856,empfiehlt,recomenda
20857,reflex,reflexo
20858,ist-,real
20859,schäbigen,gasto
20860,beleidigst,beleidigst
20861,implantate,implantes
20862,vorgarten,Jardim da frente
20863,kambodscha,Camboja
20864,korken,cortiça
20865,publik,público
20866,rauchte,fumador
20867,wirjetzt,nós agora
20868,vergiftung,envenenamento
20869,halliwell,Halliwell
20870,tragischer,tragicamente
20871,lähmung,paralisia
20872,barclay,Barclay
20873,annabel,annabel
20874,identifizierte,identificado
20875,cem,CEM
20876,entfacht,começado
20877,lauras,lauras
20878,hinterteil,alcatra
20879,beugt,curvas
20880,gleise,Gleise
20881,schwängern,impregnar
20882,attila,Attila
20883,murtaugh,Murtaugh
20884,verspüren,sentir
20885,privatjet,jacto privado
20886,polizeipräsident,chefe de polícia
20887,kapitulieren,capitular
20888,ck,ck
20889,hemingway,Hemingway
20890,guatemala,Guatemala
20891,speichel,saliva
20892,radikal,radical
20893,nachmachen,imitar
20894,jährlichen,anual
20895,emir,ordem
20896,geschwür,úlcera
20897,gewissenhaft,consciencioso
20898,organisierten,organizado
20899,lebendes,vivo
20900,gewichte,pesos
20901,späte,atrasado
20902,stühlen,cadeiras
20903,nicaragua,Nicarágua
20904,tape,fita
20905,kennenlernst,conhecer
20906,auszumachen,decifrar
20907,fleischer,Fleischer
20908,pose,pose
20909,telepathie,telepathie
20910,schiefgegangen,foi errado
20911,krümmen,dobrar
20912,unruhestifter,encrenqueiro
20913,schlagsahne,chantilly
20914,cincinnati,Cincinnati
20915,schizophrenie,esquizofrenia
20916,arabische,árabe
20917,wäschst,lavagem
20918,fist,punho
20919,zustände,condições
20920,mannomann,mannomann
20921,jockey,jóquei
20922,stärkeren,mais forte
20923,solchem,tal
20924,deckname,nome de código
20925,gedämpft,em surdina
20926,aushält,perdura
20927,populär,Popular
20928,montagmorgen,segunda-feira de manhã
20929,verdankt,obrigado
20930,füllung,o preenchimento
20931,bela,bela
20932,muhammad,Maomé
20933,abweichung,desvio
20934,wegzuwerfen,jogar fora
20935,beliebter,mais popular
20936,hoffmann,Hoffmann
20937,angebunden,tethered
20938,sensible,sensato
20939,wirksam,eficaz
20940,hinterlass,deixar para trás
20941,hochschule,Universidade
20942,bartholomew,bartholomew
20943,historisch,histórico
20944,förster,guarda-florestal
20945,low,baixo
20946,sicherheitsgründen,razões de segurança
20947,patmore,Patmore
20948,präfekt,prefeito
20949,wortspiel,Trocadilho
20950,quetschen,espremer
20951,terra,terra
20952,alva,alva
20953,verlangten,pedido
20954,nachhinein,após
20955,verfolgungsjagd,correr atrás
20956,durchlassen,deixar passar
20957,auskennen,saber sobre
20958,zuckerwatte,algodão doce
20959,wiedergekommen,volte
20960,zugibt,admite
20961,cao,Alto
20962,demütig,humilde
20963,saw,Serra
20964,komponist,compositor
20965,berühmteste,mais famoso
20966,emotionaler,emocional
20967,erschüttern,sacudir
20968,daedalus,daedalus
20969,snob,esnobe
20970,tae,tae
20971,zurückkamen,devolvida
20972,grover,Grover
20973,rettungsboot,bote salva vidas
20974,levi,levi
20975,politikern,políticos
20976,spritzer,salpico
20977,bevorstehenden,próximos
20978,blasphemie,blasfêmia
20979,tintenfisch,Polvo
20980,rocket,foguete
20981,garnicht,de jeito nenhum
20982,gardinen,cortinas
20983,umschauen,olhar em volta
20984,web,rede
20985,direktion,Administração
20986,intime,respondente
20987,unvergesslich,inesquecível
20988,birnen,peras
20989,buche,faia
20990,bierchen,bierchen
20991,heiler,curador
20992,sündigen,pecado
20993,gönne,invejar
20994,untergeschoss,porão
20995,medizinmann,homem medicina
20996,friends,amigos
20997,auszureden,conversar
20998,schnalle,fivela
20999,kontrollierte,controlada
21000,frites,frites
21001,skizzen,esboçado
21002,jimmys,jimmys
21003,geschwänzt,aluno que mata aula
21004,verflixte,Coceira
21005,regent,regente
21006,hadley,Hadley
21007,cartman,cartman
21008,verschlüsselte,criptografado
21009,liebchen,amor
21010,django,django
21011,matsch,lama
21012,häfen,portos
21013,lokomotive,locomotiva
21014,frohen,feliz
21015,erfahrene,com experiência
21016,singles,Músicas
21017,vorübergehende,temporário
21018,strukturen,estruturas
21019,zen,isso foi
21020,hybrid,híbrido
21021,sprangen,saltou
21022,voss,voss
21023,format,formato
21024,emmet,formiga
21025,pickup,pegar
21026,dumpfes,maçante
21027,böden,pisos
21028,beliebteste,popular
21029,zentralen,central
21030,petition,petição
21031,silvio,silvio
21032,reinem,puro
21033,besagte,disse
21034,beauftragte,representante
21035,überwache,vigiar
21036,wähl,discar
21037,leipzig,Leipzig
21038,lebzeiten,vida
21039,donau,Danúbio
21040,interviewt,entrevistado
21041,brustwarzen,mamilos
21042,sicherheitskameras,câmeras de segurança
21043,trenne,separado
21044,chevalier,Cavaleiro
21045,frust,frustração
21046,ertönen,som
21047,ableben,morte
21048,kletterte,subiu
21049,camillo,camillo
21050,schlürfen,mastigar fazendo barulho
21051,wegfliegen,voar para longe
21052,hänsel,Hänsel
21053,radikalen,radical
21054,schatzi,amor
21055,zwo,zwo
21056,bennie,Bennie
21057,ric,ric
21058,künftigen,futuro
21059,passender,Coincidindo
21060,shuttles,transportador
21061,gleiches,mesmo
21062,parsons,Parsons
21063,entertainment,entretenimento
21064,verbreitete,espalhar
21065,nickel,níquel
21066,vorgemacht,nos mostrado
21067,delegation,delegação
21068,laufend,constantemente
21069,ignoranz,ignorância
21070,christmas,Natal
21071,eloise,eloise
21072,müden,cansado
21073,rizzo,rizzo
21074,patron,patrão
21075,markenzeichen,Marca comercial
21076,wiederholte,repetido
21077,verbitte,proibir
21078,while,enquanto
21079,wachposten,wachposten
21080,sondereinheit,unidade especial
21081,verweilen,permanecer
21082,dampfer,barco a vapor
21083,portionen,porções
21084,renovierung,renovação
21085,motivieren,motivar
21086,verhängt,imposta
21087,kirsten,Kirsten
21088,sodbrennen,azia
21089,aufforderung,solicitação
21090,wonne,benção
21091,derrick,grua
21092,ausgleichen,compensar
21093,totschlagen,mate
21094,schlägen,propostas
21095,bobbi,Bobbi
21096,pförtner,porteiro
21097,tiefstem,o mais profundo
21098,erschwert,difícil
21099,rin,Além disso
21100,claes,Claes
21101,kroch,rastejou
21102,befürchtete,temido
21103,ki,De
21104,modul,módulo
21105,crest,crista
21106,lichtgeschwindigkeit,Velocidade da luz
21107,district,distrito
21108,verheirateter,casado
21109,chilton,Chilton
21110,oak,Carvalho
21111,übermütig,De alta espirituoso
21112,tofu,tofu
21113,anzugehen,Morada
21114,neutrale,neutro
21115,heulsuse,heulsuse
21116,mossad,mossad
21117,anrecht,direita
21118,clifton,Clifton
21119,polnischen,polonês
21120,dickkopf,bullhead
21121,trauzeugin,Dama de honra
21122,northern,norte
21123,zweihundert,duzentos
21124,stickstoff,azoto
21125,blitzen,clarão
21126,roxanne,roxanne
21127,stube,quarto
21128,infizierte,infetado
21129,chevron,divisa
21130,katya,katya
21131,dre,dre
21132,dwayne,Dwayne
21133,schlumpf,schlumpf
21134,bundespolizei,bundespolizei
21135,erwies,virado
21136,gezüchtet,culto
21137,aufdrängen,força
21138,anhaltspunkte,pistas
21139,hierüber,aqui ao longo
21140,ablehnt,recusa
21141,passierschein,passar
21142,cécile,cécile
21143,eulen,corujas
21144,gewürze,temperos
21145,versionen,versões
21146,startbereit,pronto
21147,kaffeemaschine,máquina de café
21148,rastet,casos
21149,georgetown,Georgetown
21150,hobson,Hobson
21151,landstraße,estrada rural
21152,lazarett,hospital
21153,eisenkraut,eisenkraut
21154,thunder,Trovão
21155,elin,elin
21156,süsse,doce
21157,gegenwärtigen,atual
21158,monatlich,por mês
21159,cordy,cordy
21160,arabien,Saudita
21161,unbestimmte,indeterminado
21162,fitch,fitch
21163,mathematiker,matemático
21164,machenschaften,maquinações
21165,zuständigen,competente
21166,armselige,insignificante
21167,bekifft,bekifft
21168,obdachloser,morador de rua
21169,antonius,Antonius
21170,alibis,álibis
21171,teuflischen,demoníaco
21172,try,tentar
21173,bestrafe,punir
21174,leugnet,nega
21175,michaela,Michaela
21176,chiefs,chefes
21177,weingut,vinícola
21178,geistlichen,espiritual
21179,schubert,Schubert
21180,reibt,esfrega
21181,ungeschützt,desprotegido
21182,adaption,Adaptar
21183,anspannung,tensão
21184,ha-ha,haha
21185,hehler,cerca
21186,wirs,que s
21187,shen,Shen
21188,armbrust,besta
21189,widerliches,nojento
21190,aggressive,agressivo
21191,tomorrow,amanhã
21192,bugs,insetos
21193,gruseligen,arrepiante
21194,beleg,recibo
21195,autodiebstahl,autodiebstahl
21196,skitter,brilhar
21197,ruhst,estão descansando
21198,glieder,membros
21199,meldeten,relatado
21200,aii,aii
21201,gespuckt,ovas
21202,narn,Narn
21203,herumläuft,Correndo em volta
21204,kostenlosen,gratuitamente
21205,käfige,gaiolas
21206,maud,Maud
21207,eingangstür,Entrada
21208,verweisen,referir
21209,kandidiert,candidato
21210,infarkt,infarkt
21211,tussis,tosse
21212,kaputtes,quebrado
21213,nicola,Nicola
21214,abbauen,desmantelar
21215,hausfrauen,donas de casa
21216,dichten,selo
21217,exekutiert,executado
21218,lösch,Suprimida
21219,detektei,agência de detetives
21220,merle,melro
21221,plagt,pragas
21222,avon,avon
21223,egoismus,egoísmo
21224,ausgebreitet,estendido
21225,stéphane,Stephane
21226,weigerst,weigerst
21227,schockieren,choque
21228,intensität,intensidade
21229,stapeln,pilha
21230,überwiegend,na maioria das vezes
21231,leave,sair
21232,dickerchen,Dickerchen
21233,ehrliches,honesto
21234,serviere,servir
21235,kulturelle,cultural
21236,kenia,Quênia
21237,carlson,carlson
21238,einzusteigen,digitar
21239,mahoney,Mahoney
21240,bezweifele,dúvida
21241,geheimagent,agente secreto
21242,aida,aida
21243,gebiss,dentadura
21244,diktatur,ditadura
21245,zimperlich,enjoado
21246,städtischen,urbano
21247,videokamera,câmera de vídeo
21248,steche,picada
21249,symbolisiert,simboliza
21250,holloway,Holloway
21251,raptor,raptor
21252,schei,fracassado
21253,arkansas,Arkansas
21254,polizeibeamter,oficial da polícia
21255,genützt,aproveitado
21256,transmitter,transmissor
21257,taugenichts,taugenichts
21258,thorn,Espinho
21259,speedy,veloz
21260,jürgen,Jürgen
21261,wiederbeleben,reviver
21262,ness,ness
21263,vorgesetzte,superior
21264,zugute,beneficiar
21265,befriedigend,satisfazendo
21266,trade,troca
21267,unterliegen,ser sujeito a
21268,abfackeln,abfackeln
21269,verschwundene,desaparecido
21270,éch,ECH
21271,versöhnt,reconciliados
21272,gequatscht,gequatscht
21273,fänd,Fand
21274,anmacht,turn-ons
21275,blutspuren,vestígios de sangue
21276,nachteile,desvantagem
21277,rey,Rei
21278,henne,sua
21279,instinkten,instintos
21280,gegners,oponente
21281,durchsuchungsbeschluss,mandato de busca
21282,erhaben,sublime
21283,hinfort,hinfort
21284,tad,então
21285,babs,babs
21286,hatun,baixinha
21287,syndrom,síndrome
21288,schläfchen,sesta
21289,gewissensbisse,remorso
21290,hunderttausend,cem mil
21291,idiotische,idiotische
21292,gestillt,Breastfed
21293,tansy,tanásia
21294,streuen,strew
21295,zusammenpassen,Combine
21296,selbstmordversuch,tentativa de suícidio
21297,clarice,clarice
21298,glee,alegria
21299,ahmad,Ahmad
21300,rausgerutscht,escorregou para fora
21301,abgelöst,suplantada
21302,aa,aa
21303,amore,amar
21304,röntgenbilder,radiografias
21305,aufgetrieben,distendido
21306,vancouver,Vancouver
21307,unerwünscht,indesejável
21308,popeye,Popeye
21309,smalltalk,conversa fiada
21310,inhumans,desumano
21311,hodge,Hodge
21312,niederlagen,derrotas
21313,latinum,latino
21314,burrito,burrito
21315,seelenverwandte,alma gêmea
21316,hausfriedensbruch,invasão
21317,putsch,Golpe
21318,serling,Serling
21319,tao,pessoa
21320,umarmungen,abraços
21321,states,estados
21322,pavillon,bandeira
21323,verirren,dá o fora
21324,jährliche,anual
21325,willig,disposto
21326,börsenaufsicht,supervisão de câmbio
21327,gut.,Bom.
21328,yusuf,Joseph
21329,italienischer,italiano
21330,beschuldige,culpa
21331,angeschnallt,amarrado
21332,sioux,sioux
21333,sägewerk,Serraria
21334,bettina,Bettina
21335,begrenzte,limitado
21336,zusammensein,estar juntos
21337,leibliche,biológico
21338,kommunistischen,comunista
21339,sabbat,Sábado
21340,späße,humores
21341,unterleib,abdômen
21342,pfefferspray,spray de pimenta
21343,gegenseitigkeit,reciprocidade
21344,jungchen,Jungchen
21345,bestseller,Best-seller
21346,bereitest,preparar
21347,parke,Parque
21348,gaia,gaia
21349,gestatte,permitir
21350,schleich,rastejante
21351,unterbrich,interromper
21352,pfosten,publicar
21353,gertrud,gertrud
21354,ekelig,nojento
21355,roge,roge
21356,kolumbus,Colombo
21357,wörtern,palavras
21358,abgehackt,grampeado
21359,geschleudert,arremessado
21360,holocaust,holocausto
21361,gebenedeit,abençoado
21362,kriegern,guerreiros
21363,atwood,Atwood
21364,vereinigt,Unidos
21365,klimpern,arranhar
21366,geeignete,adequado
21367,unbewusst,inconscientemente
21368,wusch,lavado
21369,losen,resolver
21370,fluggesellschaft,CIA aérea
21371,clair,Claro
21372,genen,genes
21373,hera,Tempo
21374,einzuholen,alcançar
21375,lebenserhaltung,conservação da vida
21376,blaze,chama
21377,entsprechende,apropriar
21378,bettelt,implora
21379,amtszeit,mandato
21380,schliesslich,no fim
21381,feierten,célebre
21382,monterey,Monterey
21383,auswirken,afetar
21384,waschbären,guaxinins
21385,steward,comissário de bordo
21386,fei,fei
21387,jeanie,jeanie
21388,erhoffen,espero que
21389,iv.,4.
21390,wirtshaus,taberna
21391,zollen,pagar
21392,erdrosselt,estrangulado
21393,elisa,elisa
21394,honolulu,Honolulu
21395,dienten,servido
21396,dos,dos
21397,wohltätigkeit,caridade
21398,augenblicken,olhar dos olhos
21399,schillinger,Schillinger
21400,heide,pagão
21401,schämte,envergonhado
21402,geritzt,riscado
21403,eisenhower,eisenhower
21404,mäusen,ratos
21405,sozialamt,Escritorio de segurança social
21406,krächzen,coaxar
21407,clave,Código chave
21408,arrangiere,arrangiere
21409,weisse,Branco
21410,verringert,reduzido
21411,klapsmühle,nuthouse
21412,tosh,tolices
21413,coffee,café
21414,quarter,trimestre
21415,nachfahren,descendentes
21416,pferdes,cavalo
21417,geschwiegen,silencioso
21418,qui,quem
21419,safari,safári
21420,todmüde,bater
21421,doktors,doutora
21422,inbegriffen,incluído
21423,vollzeit,tempo total
21424,saturn,Saturno
21425,rafe,rafe
21426,bane,desgraça
21427,berühr,Berühr
21428,wegsperren,wegsperren
21429,janes,janes
21430,wachhund,wachhund
21431,vorschule,escola de Enfermagem
21432,horne,Horne
21433,angetrauten,Wedded
21434,heule,heule
21435,gebettelt,implorando
21436,einwand,objeção
21437,woo,cortejar
21438,argumentieren,argumentar
21439,telefonierte,telefonado
21440,aroma,aroma
21441,geller,geller
21442,zirpen,zirpen
21443,vorausgesagt,previu
21444,protestanten,protestantes
21445,masern,sarampo
21446,gardens,jardins
21447,lion,leão
21448,stichwunden,feridas de pontos
21449,hiroshi,Hiroshi
21450,erdbeere,morango
21451,marshalls,Marshalls
21452,beleidige,beleidige
21453,schnattern,grasnar
21454,copperfield,Copperfield
21455,treibende,dirigindo
21456,bzw.,ou.
21457,hämisch,malicioso
21458,moritz,Moritz
21459,auszieht,despindo
21460,glückseligkeit,benção
21461,mischst,embaralhar
21462,historischer,histórico
21463,schwedischen,sueco
21464,disqualifiziert,desqualificado
21465,managerin,Gerente
