Alemão,de-pt,Polonês,pl-pt
zora,zora,profesjonalny,profissional
otter,lontra,namieszać,misturar
touché,touché,iwan,ivan
sung,sung,łódki,barcos
japanisches,japonês,paragon,recibo
regelmäßige,regular,cruise,cruzeiro
getrübt,nebuloso,przysłowie,provérbio
excalibur,excalibur,rączkę,lidar
task,tarefa,pakistanie,Paquistão
magister,magister,żądają,exigem
verhältnissen,índices,popełniłaś,Você cometeu
meng,Meng,wołowiny,carne
justice,justiça,russel,russel
akademiker,acadêmico,postawili,Eles põem
verrätern,traidores,ziomuś,homie
juarez,juarez,udawajmy,fingir
gläsern,copo,australia,Austrália
yoshida,Yoshida,pułk,regimento
gehäuse,invólucro,spóźnienia,atrasado
kettenreaktion,reação em cadeia,długimi,longo
waits,espera,konkretnym,específico
aufnahm,gravado,piotrze,Pedro
staudamm,barragem,skrywa,esconde
conan,conan,potraktował,tratado
streitigkeiten,disputas,przydzielono,atribuído
felle,peles,chatce,cabine
baal,Baal,uczynki,atos
scanne,Varredura,master,mestre
sellerie,salsão,ostatecznym,final
bescheißt,trapaceando,filmować,filme
peitschen,chicote,movie,filme
wickham,Wickham,jedenastej,onze
prostata,próstata,paparazzi,paparazzi
diagramm,diagrama,spódnicę,saias
sonnigen,ensolarado,move,jogada
allez,allez,romano,romano
alligatoren,jacarés,tacos,tacos
arbeitende,trabalhando,maśle,manteiga
albaner,albanês,balkonu,sacada
nötigung,coerção,roscoe,Roscoe
coles,Coles,aaaa,aaaa
frl,FRL,działały,trabalhado
infolge,como um resultado,poprawę,melhoria
zuges,", treinador",wyrazu,inexpressivo
dupree,dupree,nadejdą,virá
vordringen,avançar,robal,erro
gefielen,apreciado,pośrednikiem,mediador
erhitzt,aquecido,świąteczną,Natal
rochelle,Rochelle,atakuj,ataque
charity,caridade,włączcie,Sintonize
jahrelange,anos,natychmiastowym,imediatamente
ausarbeiten,trabalhando fora,samoobrony,Defesa pessoal
fifth,quinto,prorok,profeta
morgendämmerung,Alvorecer,pozdrowić,saudar
demoliert,demolido,atrakcyjne,atraente
suzaku,suzaku,pili,bebido
aasgeier,abutre,barrow,carrinho de mão
stampfen,carimbo,scenariusze,cenários
widmet,dedicada,handlarze,comerciantes
überrasche,surpresa,elektron,elétron
project,projeto,tkwić,residir
beeilst,pressa,marcu,Março
steuerberater,consultor fiscal,takze,Além disso
rät,aconselha,przeprowadzka,remoção
abhaken,verificar fora,dostrzegł,ele viu
abgegangen,partiu,zawrzyjmy,Vamos fazer
charmeur,encantador,zawiózł,tomou
irish,irlandês,elmo,elmo
bekehren,converter,nieznanych,desconhecido
player,jogador,całują,beijo
austreiben,expulsar,pochyl,magro
jodie,Jodie,piciu,bebendo
spielhalle,Sala de jogos,etapu,etapa
regenwald,floresta tropical,nosili,eles usavam
belanglos,sem importância,uśmiechnął,sorriu
bills,contas,piły,serras
kollateralschaden,dano colateral,wariatkę,louco
olivers,olivers,plemion,tribos
imitation,imitação,bary,bares
einschaltquoten,visualizando figuras,napojów,bebida
eiskalte,gelado,tolerancji,tolerância
urkomisch,Hilário,oficjalnego,oficial
ärgerst,estão bravos,pisarzy,escritoras
bemerkst,perceber,pokrycie,cobertura
zurückspulen,rebobinar,bezrobotny,desempregado
anzuzünden,acender,dostawców,provedores
begrenzten,limitado,niepamięć,esquecimento
hanks,Hanks,rękawy,mangas
zuende,sobre,oddechowe,respirando
liebstes,favorito,żydówką,judeu
graues,cinza,zawaliłem,Estraguei tudo
stärkung,Reforço,radarze,radar
garantien,garantias,dbamy,Nós cuidamos
vorgefunden,encontrado,nabijasz,Tirando sarro
armaturenbrett,painel de controle,dziwkami,prostitutas
schwimmst,nadar,relacjach,relações
studentinnen,Estudantes femininas,edison,edison
gefangennahme,capturar,nowości,notícia
voice,voz,skorumpowany,corrupto
extrablatt,Extrablatt,zagubieni,confuso
wartend,espera,delaney,Delaney
dip,mergulhar,złapani,apanhado
rückspiegel,espelho retrovisor,chrześcijanie,cristãos
vorherbestimmt,preordained,podium,pódio
karpfen,carpa,subteam,subequipe
judge,juiz,czekoladą,chocolate
sperrstunde,regredir,siądź,sentar-se
monitore,monitores,szóstego,sexto
tully,Tully,dotrzymuję,manter o meu
eddi,eddi,zaginęły,ausência de
bluttests,exames de sangue,sekretarzu,secretário
baton,bastão,kelnerem,um garçom
fraktur,fratura,zawodowiec,profissional
alben,álbuns,szykować,preparar
regenten,regentes,oddzielne,separadamente
kreuzfeuer,fogo cruzado,spotykałam,eu conheci
wegsehen,desviar o olhar,wymagane,requerido
vivien,Vivien,zakończyło,terminou
dreizack,tridente,prognozy,previsões
shark,Tubarão,sound,som
ausreicht,suficiente,płacenia,pagar
wolkenkratzer,arranha-céu,zyskamy,ganho
radios,rádios,naukowej,científico
fingers,dedos,spowiedź,confissão
schiefläuft,dando errado,pracodawca,Empregador
ausstieg,saída,wytłumaczy,explicar
zusammenarbeitet,trabalhando juntos,pretensje,pretensões
subs,subs,aniołek,anjo
schönling,rapaz bonito,volvo,volvo
avalon,Avalon,lisą,Lisa
geldprobleme,problemas financeiros,przynosił,trouxeram
formwandler,Conversor forma,nagich,nu
resync,resync,stwierdzili,encontrado
ballkönigin,belle da bola,release24.pl,release24.pl
medusa,medusa,piwnicę,porão
lobet,elogio,urodzona,nascermos
ivo,ivo,kluczyków,chaves
ausgelaugt,drenado,shakespeare,shakespeare
burbank,Burbank,umówiła,fez uma consulta
killers,killers,mające,tendo
kali,barrilha,moya,moya
stickig,abafado,zdecydują,escolher
mega,mega,yoko,yoko
someone,alguém,specjalistów,especialistas
arschkriecher,puxa-saco,houdini,houdini
bestrahlung,radioterapia,podstawowy,básico
nachrichtendienst,agência de notícias,0080ff,0080ff
brownie,Brownie,krakersy,biscoitos
abgefunden,resignado,zabijali,matando
bastille,bastilha,płaczem,lágrimas
pott,Panela,szumowiny,escumalha
yoda,yoda,zdradź,trair
zusammenhänge,juntos pendurar,sprostać,lidar
bockmist,Bockmist,błagałem,eu implorei
unkompliziert,descomplicado,oczekiwanie,expectativa
jeffries,jeffries,gangsterzy,gangsters
bildeten,formado,wojenna,guerra
puma,Puma,równanie,equação
gestörte,perturbado,obstawiam,eu aposto
ankunftszeit,tempo de chegada,szerzej,mais largo
plymouth,Plymouth,sprośne,obsceno
durchkämmt,area,maguire,Maguire
verbesserte,melhorado,riggs,Riggs
plattenfirma,rótulo,migotanie,brilho
direktive,directiva,specjalizuje,especializada
nütze,rentável,wyróżnia,fica
zusammenhängt,relacionado,umrzecie,morrer
eisbären,ursos polares,kablówki,TV a cabo
vergesslich,esquecido,diable,diable
harmlosen,inofensivo,wyprostuj,endireitar
gebrauchte,Usado,odprawa,resumo
empörung,indignação,shawna,shawna
sonntagmorgen,domingo de manhã,inicjatywy,iniciativa
kapitol,capitólio,malujesz,quadro
santo,santo,zarozumiały,pretensioso
kastriert,castrado,kryminaliści,criminosos
verstöße,violações,curtisa,Curtis
polizeibeamte,policial,zaprowadził,tomou
entsinne,lembrar,wykorzystałaś,você costumava
töpfchen,excêntrico,zrezygnowałeś,você desiste
nötigste,mais necessária,błyskawicznie,num flash
gremium,comitê,komórką,célula
herzliche,caloroso,stawiaj,"Lugar, colocar"
taff,taff,nietknięte,intocado
viereinhalb,quatro e meio,lotniczy,ar
mitfühlend,compassivo,klaunów,palhaços
rachels,rachels,rur,tubo
polizeiliche,polícia,glee,alegria
geschwafel,divagações,puścili,eles deixam
abzuwehren,ala,otrzymujemy,Nós temos
bewohnern,moradores,samie,samie
einzuschalten,vez,pijanego,bêbado
softitler,Softitler,oddają,dar
vie,vie,reeves,Reeves
bleistifte,lápis,przeskoczyć,pular
close,fechar,aka,aka
sterbebett,Leito de morte,zaakceptuj,aceitar
problemo,problemo,żetony,salgadinhos
kimble,kimble,zastaw,juramento
ahmt,imita,vs,vs
abgezockt,rasgado fora,przepadły,ausência de
erhältlich,acessível,warrena,Warren
geoutet,outed,uwag,comentários
sauerkraut,Chucrute,grecy,gregos
anzugeben,especificamos,zbliżał,Aproximando
equipment,equipamento,taksówkarz,taxista
abgibt,lançamentos,przyjaciółko,amigo
weichst,mais suave,ciuchach,roupas
augustine,Agostinho,wygodny,confortável
rechtshänder,destro,powietrznej,ar
wassermelone,Melancia,planowałeś,você planejou
demokratisch,democraticamente,fs36,FS36
monument,monumento,uprawiałam,eu pratiquei
alcatraz,alcatraz,okrutnie,cruelmente
tempels,têmpora,jeansy,jeans
tschüssi,tchau,lepszymi,Melhor
tory,conservador,czarnuchem,negro
eingepflanzt,plantadas,listopadzie,novembro
pathologie,patologia,przypominało,gostar
ungutes,inquieto,braun,Braun
pak,arma anti-tanque,montrealu,Montreal
tatzeit,momento do crime,dobiegnie,alcances
schwelgen,deleite,falach,as ondas
vulkanischen,vulcânico,zajdziesz,Você irá
pitbull,pitbull,zboczeńcu,perverter
du-,vocês-,listem,carta
erkennbar,reconhecível,ulubieńcem,favorito
fernsehserie,séries de TV,casa,Casa
diaries,diários,zmywamy,Lavar o
töchterchen,bebê,położymy,nós colocamos
clarks,clark,diabla,inferno
medici,medici,najszczęśliwszym,mais feliz
kotz,kotz,pomyślenia,impensável
schüttle,sacudir,podsłuchiwać,eavesdrop
lower,mais baixo,lotniczej,aviação
primäre,primário,doceniać,apreciar
reinpassen,caber,muzycy,músicos
quartiere,quartiere,wyrzucono,expulso
murdoch,Murdoch,zakonnica,freira
stammst,descendem,głupstwa,coisa
drago,drago,zapisów,registros
catering,refeições,garth,pátio
niels,Niels,wolała,preferido
mekka,meca,bliźnięta,Gêmeos
virtuelle,virtual,cipo,cona
zahnfleisch,gengivas,przepuśćcie,passar
beschießen,bombardear,kłócił,argumentando
passanten,Passanten,całuj,beijo
ehemanns,do marido,słuchałaś,Você escutou
a-team,um time,hana,hana
iphone,Iphone,jajkiem,ovo
südens,habitante do sul,wypiłaś,bebido
ystad,Ystad,odwiedzisz,Visita
türschwelle,limite,oleg,oleg
karawane,caravana,uciekając,fuga
gegenangriff,contra ataque,porządki,limpeza
acapulco,Acapulco,sierpień,agosto
charmanter,encantador,pine,pinho
auszug,resumo,odemnie,de mim
bürsten,Escovar,przemienić,transformar
patrouillieren,patrulha,kontaktem,contato
feststecken,grudou,fong,fong
niemandsland,terra de ninguém,oszalałam,louco
stammgast,regular,terroryzmu,terrorismo
schutzschilde,escudos de proteção,uczciwi,honesto
amerikanischem,americano,gównianym,merda
auswirkung,impacto,kodem,código
dingsda,o que é isso,opada,quedas
dorrit,Dorrit,składał,consistia
huo,huo,lesbijek,lésbica
flagg,flagg,odwołana,cancelado
hohn,zombaria,odzyskania,recuperar
blutegel,sanguessuga,mira,mirra
petrov,Petrov,ruiz,Ruiz
jazzhead,cabeça jazz,rugby,rúgbi
arbeitskollegen,colegas de trabalho,sugerować,sugerir
boiler,caldeira,omija,bypasses
verbesserungen,melhorias,standardowy,convencional
japse,Beliscar,blog,blogue
renée,Renée,fncomic,fncomic
kardinäle,cardeais,beat,bater
dekoriert,decorado,dziwić,para surpreender
begrenzen,limite,poprawczaku,juvie
omni,omni,nóżki,pernas
missfallen,desagradam,aresztujesz,prender prisão
next,Próximo,młodsi,mais jovem
hellseherin,Hellseherin,przeliczyć,contar
glock,glock,pasożyty,parasitas
leuchtfeuer,baliza,przyłożył,por
schakal,chacal,niewidomy,cego
harp,harpa,sierocińcu,orfanato
alkoholproblem,problemas de álcool,wiktor,wiktor
ignorierte,ignorados,organiczne,orgânico
geheißen,boas-vindas,reguła,regra
anstrengender,vigoroso,szczeniaki,Puppies
galle,bílis,ideał,ideal
orchidee,orquídea,celuje,sobressai
tusk,presa,stanąłem,eu fiquei de pé
beworfen,Pelted,dopasowane,coincide
fahrerin,motorista,przyjaźnią,amizade
peaches,pêssegos,katalogu,diretório
vize,vício,końcówka,fim
erhabene,sublime,inspekcji,inspeção
whitmore,Whitmore,wychodzicie,sair
familienangelegenheit,assunto de família,saunders,Saunders
johlen,vaia,puerto,puerto
schlitzauge,fenda,tajemniczych,misterioso
hatt,hatt,pozwoliliśmy,nós permitimos
gem,gema,pokazując,exibição
bäder,casas de banho,omawiać,discutir
schwarz-weiß,Preto e branco,światowego,o mundo
kammerdiener,criado de quarto,pilnego,urgente
amelie,amelie,podchodzisz,você se aproxima
mathison,Mathison,troi,triplos
afrikas,África,tabliczkę,tábua
sechsmal,seis vezes,link,ligação
toledo,toledo,pękł,rachado
lieblings,favorito,wyglądający,olhando
washingtons,washington,mięczakiem,banana
minibar,frigobar,ukończeniu,realização
neugeborenen,recém-nascido,obiady,jantares
trübe,nebuloso,żałoby,luto
fehlanzeige,nada,prentiss,Prentiss
todernst,mortalmente sério,dok,doca
stannis,Stannis,złośliwa,malicioso
löwin,leoa,chmurach,as nuvens
sorgten,preocupado,lala,boneca
blamierst,blamierst,obserwując,assistindo
unbewaffneten,desarmado,zanika,desaparece
schlachthof,matadouro,wyłączyłem,eu desliguei
hörgeschädigte,deficientes auditivos,schowka,Prancheta
präzedenzfall,precedente,okropnej,Terrível
vibrator,vibrador,horace,Horace
himmler,himmler,umyję,lavagem
rothaarigen,ruivo,jutrzejsze,amanhã
volllaufen,volllaufen,supermanem,Super homen
fanfare,fanfarra,dziennikarza,jornalista
körperlicher,físico,zakonnice,freiras
antaten,estava fazendo,uderzasz,batida
absolviert,concluído,iluzji,ilusão
geschleift,loop,vancouver,Vancouver
beacon,baliza,kulami,balas
mayans,mayans,wytrzymają,resistir
immobilie,propriedade,złoczyńców,malfeitores
boots,botas,odwieść,dissuadir
kapern,capturar,szopa,cabana
kellogg,Kellogg,przyjeżdżam,Eu venho
unverheiratet,solteiro,tedy,Por aqui
abzieht,deduz,pogoni,perseguir
barmherzig,misericordioso,urzędnika,Policial
imam,imam,arrow,seta
verhöhnt,mocks,trzeźwa,sóbrio
betrete,entrar,wrzesień,setembro
bevorstehende,próximos,sowa,Coruja
donaghy,Donaghy,śródmieściu,Centro da cidade
liegestütze,flexões,osiągnęła,alcançado
poppins,poppins,barker,camelô
eiskrem,gelo,pasożyt,parasita
aoki,Aoki,poinformuj,por favor deixe
schwergewicht,peso-pesado,pieprzeni,maldito
pumpt,inflado,przetrwam,sobreviver
dodd,Dodd,oszukany,enganado
pagen,pagen,ferengi,Ferengi
höherer,superior,odwiezie,irá dirigir
rance,rance,znudziło,entediado
drusilla,drusilla,kłamczuchą,mentiroso
österreicher,austríaco,zachodnia,ocidental
britisch,britânico,pianki,espuma
springende,salto,zyska,ganho
weihe,ordenação,spragniona,sedento
riesenrad,roda gigante,orange,laranja
christo,cristológica,przydatna,útil
höflicher,educado,toto,toto
straßenecke,esquina da Rua,dołożyć,faço
südseite,lado sul,wydajność,eficiência
neugierige,curioso,dolnej,mais baixo
katheter,cateter,odstaw,deixou de lado
kobayashi,Kobayashi,pocztówkę,cartão postal
tandy,Tandy,traktowałem,tratei
modus,modo,rewelacja,revelação
perverses,perverso,czarodziejem,Mago
eingestochen,esfaqueado,panienką,jovem
fälscher,falsificador,kozie,bode
grösser,maior,zabezpiecz,seguro
begabter,dotado,ziemskich,terrestre
meteorit,meteorito,dziekana,reitor
aufzuführen,executar,poźniej,mais tarde
auftragsmörder,Assassino,oszuści,scammers
pustet,soprar,getta,gueto
ariane,Ariane,sexu,sexo
baumann,Baumann,chłoptasiu,Homeboy
eleganten,elegante,0099fa,0099fa
beenthere,esteve lá,modlisz,rezar
ulrik,Ulrik,debatę,debate
videorekorder,vídeo,spacerze,andar
kneipen,bares,egzaminie,exame
oooh,oooh,przypadkowa,acaso
capua,Capua,lekarzowi,doutora
komfortabel,confortável,zgarnęli,Gola
hierarchie,hierarquia,zaniedbanie,negligência
elixier,elixir,czosnek,Alho
letty,letty,memorial,memorial
einzieht,move-se em,jacku,Jack
seniorpartner,sócio sênior,ulicami,as ruas
abstecher,Desvio,kolonia,Colônia
book,o Facebook,krzeseł,cadeiras
tät,ty,kajdanek,algemas
zuständige,competente,podpisy,assinaturas
trampel,rústico,grożą,terror
paradox,paradoxo,larwy,larvas
straff,tautly,bentley,Bentley
maynard,Maynard,orzechowym,amendoim
ch33fa33,ch33fa33,powiew,respiração
peperoni,calabresa,samochodowe,Carro
evangelium,Evangelho,podle,perto
tiefgründig,profundo,katalog,Catálogo
francie,francie,finansowym,financeiro
kolumbianer,colombiano,jot,mínimo
guillotine,guilhotina,poruszony,agitado
gebrandmarkt,de marca,doszli,eles alcançaram
bearbeite,edição,harrisa,Harris
elenas,Elenas,wstawajcie,levantar
hausboot,casa flutuante,nawigacji,navegação
renault,renault,tendencję,tendência
symbiont,symbiont,mogo,mogo
ter,ter,satelitarne,satélite
lebenserwartung,Expectativa de vida,rzadkość,raridade
hua,hua,kawaleria,cavalaria
vermehrt,aumentou,hewes,Hewes
spielschulden,dívida de jogo,fischer,fischer
piccolo,flautim,foa,foa
espheni,espheni,wyjeżdżał,Ele saiu
untypisch,atípico,braliśmy,nós pegamos
pappe,cartão,przechwycić,interceptar
klaro,klaro,zarezerwować,reserva
tret,tret,zmienione,mudado
schallplatte,disco de vinil,zechciałby,estaria disposto
ärgernis,ofensa,nerw,nervo
sturms,tempestade,poczęstuj,fique a vontade
mitgegeben,dado,heaven,Paraíso
reformen,reformas,ubocznych,lateral
co.,co.,wspomnieniem,memória
gefrorenen,congeladas,chwalmy,elogio
detaillierte,detalhado,starałeś,você tentou
zuzulassen,permitir,wypuszczony,liberado
lenin,lenin,oryginalna,original
dschingis,Dschingis,derrick,grua
grübchen,ondulação,odwołanie,cancelamento
baird,Baird,przygotowali,Preparado
eingeschrieben,registrado,przedniej,frente
festgesetzt,fixo,yates,Yates
dächer,telhados,zapachem,aroma
lagers,acampamento,podwodnej,embaixo da agua
knifflig,complicado,cade,cade
torwart,goleiro,najgłupsza,estúpida
künstlern,artistas,bezsilny,impotente
maguire,Maguire,listopad,novembro
wackelpudding,geléia,prowadzącym,conduzindo
zustimme,concordar,zepsujesz,estragar
stinkender,fedorento,zasnęłam,Adormeci
winger,winger,mine,minha
zöpfe,tranças,sweeney,sweeney
ausfragen,pergunta,wściekłe,descontroladamente
kingston,kingston,zaakceptowania,aceitar
blutlinie,linhagem,zewnętrznych,externo
bobs,prumo,dystrybucji,distribuição
barneys,barneys,rozwiedli,divorciado
ausgestrahlt,transmissão,wymknęła,escorregou para fora
unentdeckt,não detectado,szaleńczo,loucamente
bekennt,confessa,przepuść,Graciosamente
offiziers,Policial,wytyczne,diretrizes
norrie,Norrie,latarki,luzes
kommandiert,ordenado,wysiądź,sai fora
imaginären,imaginário,komplementy,elogios
kuck,kuck,usuniemy,retirar
spülung,rubor,swift,rápido
zurückzuzahlen,reembolsar,naprawiam,Eu reparo
unbegründet,infundado,maleństwa,bebê
nilpferd,hipopótamo,namierzyłem,identificado
zivilisierten,civilizado,uroczym,encantador
vergangenes,último,odcięty,amputado
außerordentliche,extraordinário,wycofanie,cancelamento
alleinstehende,solteiro,papo,papai
temperamentvoll,animado,donalda,Donald
empfindliche,confidencial,pijąc,bebendo
simplen,simples,axe,machado
upgrade,melhoria,zgłaszać,relatório
morpheus,Morfeu,lea,prado
zahlreich,numeroso,momentach,momentos
küchenchef,chefe de cozinha,willem,Willem
geigen,violino,gali,gala
ausserhalb,fora,lavon,lavon
intern,internamente,katar,nariz a pingar
blamage,desgraça,zadzierasz,bagunça
vorbehalten,Reservado,srać,merda
inflation,inflação,komór,câmaras
fehde,feudo,manipuluje,manipulado
stieftochter,Enteada,uchwyt,lidar
hussein,hussein,zdołałem,eu poderia
flüsterte,sussurrou,wspólnota,comunidade
behütet,abrigada,federacja,federação
pelt,couro,starożytnej,antigo
award,prêmio,pluskwę,erro
rennwagen,carro de corrida,skazy,perfeito
anke,Anke,wspominasz,lembrar
gefiele,apreciado,załatwią,arranjo
feinste,melhor,grahama,Graham
genötigt,forçado,dziurą,buraco
zusammenhält,mantém juntos,johnowi,John
wertpapiere,valores mobiliários,herbert,Herbert
hirten,pastor,six,seis
kliniken,clínicas,powtórzmy,repita
absorbieren,absorver,nicolas,nicolas
rockt,balanço,zarobki,ganhos
behandelten,tratado,przywiezie,trazer
bergsteiger,alpinista,poślubiłam,casado
israels,Israel,zbudowałeś,Você construiu
karamell,caramelo,bajor,Bajor
maverick,dissidente,gówniarzu,merda
kühlraum,frigorífico,pluskwy,insetos
kinderkram,material infantil,bywasz,Você vai
chong,chong,mniejszych,menor
woodward,vagabundo,ręcę,mãos
zerfleischt,lacerado,przyszłej,o futuro
innenministerium,Escritório em casa,używaliśmy,nós costumavamos
überbleibsel,resto,nieświadomie,inconscientemente
burr,rebarba,pralnia,lavanderia
zahllose,incontável,austrii,Áustria
aufzüge,elevadores,tłumaczyła,Ele explicou
zocken,jogar,południową,sulista
zerschneiden,cortar,odrzucasz,rejeitar
krabbeln,rastejar,beton,concreto
verprügelte,bater,zmarnowałem,eu desperdicei
loslässt,lançamentos,cesar,cesar
legitim,legítimo,stałej,fixo
tägliches,diariamente,spowodowały,causado
auszuwählen,selecionar,mie,escrevendo
brandung,surfar,zakładają,presumir
brandneue,novo em folha,kultu,adoração
zucht,raça,świrów,malucos
brauerei,cervejaria,rude,vermelho
edles,nobre,zaatakowało,atacado
schalldämpfer,silenciador,testem,teste
schmuggelt,contrabando,mutantów,mutantes
wachturm,torre de vigia,gróźb,ameaças
fido,fido,drużyno,drużyno
unterdessen,enquanto isso,logiki,lógica
guard,guarda,cichutko,silenciosamente
israelische,israelense,wszech,de tudo
zehenspitzen,ponta dos pés,kwestiach,questões
mobilisieren,mobilizar,wycisnąć,espremer
dichtung,poesia,przytłaczające,muito pesado
kriegsgebiet,área de batalha,postanowiłaś,você decide
levy,imposição,umierającego,morrendo
razor,navalha,sypie,caindo aos pedaços
feuerwehrmänner,bombeiros,zadba,cuidar
pokerspiel,jogo de poker,bezradny,desamparado
insasse,habitante,opłaci,pagar
zulu,zulu,hear,ouvir
bolivien,Bolívia,biegun,pólo
rentiere,rena,zagrożeniu,ameaça
vorbehalte,reservas,dłonią,mão
klausel,cláusula,brzuszek,barriga
anschreiben,Escrever para,architekt,arquiteto
gowron,Gowron,wystawiła,publicado
fade,brando,koka,coca
menschenskind,golly,dzielił,dividido
durchstellen,colocado através,załapałeś,você entendeu
vorbringen,menção,wschodem,leste
gleisen,trilhos de trem,wsadziłeś,você colocar
woodsen,Woodsen,wypłynie,fluir para fora
weia,Weia,hipotekę,hipoteca
unterstützer,suporte,oczyści,limpar
nerve,nervo,świnki,caxumba
rundherum,tudo em volta,dopadła,apanhado
ausladen,descarregar,padał,queda
lovelace,Lovelace,philipa,Philip
geschwind,velozes,mieszane,misturado
strebt,buscou,donnelly,Donnelly
tulip,tulipa,jajeczka,ovos
vergrößerung,alargamento,loretta,Loretta
pelze,peles,oficjalnym,oficial
pingelig,exigente,wynikami,resultados
pfeiler,pier,badz,estar
herauszuholen,obter,fałsz,falsidade
brians,brian,dramatyczne,dramático
befehlsgewalt,autoridade,porcje,porções
mambo,mambo,uratowani,salvou
sensenmann,ceifeiro,wyższym,superior
gestreichelt,acariciada,sprawozdania,relatórios
rechtssystem,sistema legal,obozy,acampamentos
trans,trans,życiowych,vida
bescherung,distribuindo presentes de Natal,udali,eles foram
erstatte,devolveu,przeżywać,viver
fairbanks,Fairbanks,gnoje,bastardos
überfielen,Raided,obawiałam,temi
renaissance,Renascimento,łącznikiem,vinculador
kurtz,Baixo,kwaterę,quartel general
turteltäubchen,pombinhos,zwycięża,vitórias
geschändet,profanado,70-tych,70
andocken,acoplamento,księdzu,Pai
korrupter,corrupto,kończył,terminou
toyota,toyota,widziec,Vejo
kantonesisch,Cantonês,transakcje,transações
hauptgewinn,primeiro prêmio,zapali,claro
pfeilen,Setas; flechas,pawia,pavão
gram,grama,blefuje,blefando
pong,pong,oszustów,scammers
fabrice,fabrice,cukrzycę,diabetes
beliebige,nenhum,wei,wei
reinige,limpar,pasta,colar
zubehör,equipamento,tutejszy,local
lowe,leão,wstanę,eu levanto
rumschnüffeln,bisbilhotando,pokojówką,empregada
hitman,assassino de aluguel,zawodowej,profissional
krause,babado,uczciwego,feira
schlitze,caça-níqueis,grobów,sepulturas
deunan,Deunan,szeregi,fileiras
schwerpunkt,ênfase principal,mroczną,Sombrio
doolittle,Doolittle,wołać,chamar
rauskriegt,Descubra,upuściłem,Eu deixei cair
ausleben,fora ao vivo,laskami,pintos
wohltätige,caridoso,watts,watts
überlegungen,considerações,fotela,assento
traurigste,mais triste,pudełek,caixas
snoop,bisbilhotar,dojechaliśmy,nós chegamos
flussufer,margem do rio,zabronić,proibir
überläufer,vira-casaca,nelly,nelly
jaulen,uivo,kalendarza,calendário
aufgelistet,listado,miłosna,amar
auffangen,pegar,zebrała,colhido
knackig,batata frita,dostarczysz,entregar
anbrennen,pegar fogo,określone,identificado
detektivin,detetive,wosk,cera
diszipliniert,disciplinado,chińsku,chinês
minimale,mínimo,zaleta,vantagem
promenade,passeio,znoszą,odiar
zwischenfälle,entre os casos,mind,mente
zukünftig,futuro,trzęsiesz,sacudindo
nächtliche,noite,opowiadałeś,você disse
ibm,ibm,niemieckiej,alemão
bonaparte,Bonaparte,zyskasz,ganho
integrieren,integrar,oczyszcza,purificado
stürzten,apressado,zaatakowały,atacado
feierlichkeiten,celebrações,uprawiali,eles cultivaram
tödliches,mortal,nagłówek,cabeçalho
promis,promis,wkurzyłeś,puto
abzufangen,interceptar,kręgi,círculos
abba,abba,viv,viv
flirt,flerte,flagą,bandeira
mcbeal,McBeal,wybiegł,acabou
koreanischen,coreano,freeman,homem livre
gendarmen,Gendarmen,biedaczek,pobre camarada
verwickeln,embroil,spuszczę,causar-lhe
clooney,Clooney,szły,eles foram
verwirrte,confuso,redaktor,editor
talentierter,talentoso,rzucili,correram
zehntausende,milhares,pink,cor de rosa
ermöglichte,ativado,inżynierów,engenheiros
klunker,sparkler,ukaże,vontade
third,terceiro,baylor,Baylor
ralphie,ralphie,woźny,zelador
fahrzeugen,veículos,szycia,de costura
weihnachtszeit,época de Natal,podziać,extraviar
wehrmacht,wehrmacht,wesołym,alegre
gründeten,fundado,usiłuje,tentativas
einbahnstraße,rua de sentido único,poddanych,assuntos
begingen,célebre,udowadnia,prova
codenamen,nomes de código,nevada,nevada
entschädigt,compensada,wrogom,inimigos
asteroid,asteróide,niepewnie,hesitantemente
zweifelhaft,duvidoso,rasistowskie,racista
erweiterung,extensão,sprawnie,habilmente
ahmet,ahmet,odwrócenie,reversão
olof,Olof,rezultatów,resultados
rauen,duro,rosy,orvalho
beliebten,popular,hook,gancho
koreanisch,coreano,przekroczy,excede
joints,articulações,naciskał,empurrado
regisseure,diretores,uratowany,salvou
stündlich,de hora em hora,męki,Paixão
chop,Picar,gigantyczne,gigante
rasiere,barbear,maluję,quadro
fahrten,passeios,urzędnicy,funcionários
regenerieren,regenerado,meczem,jogos
fangfrage,fang perguntar,ocaliłaś,você salvou
mitunter,de tempos em tempos,conner,Conner
verleitet,tentado,śpiewamy,canta
vilde,vilde,rosen,Rosen
wife,esposa,zabawną,engraçado
ting,ting,fascynująca,fascinante
barts,Barts,rejestrze,registro
faires,feira,kosmita,estrangeiro
sicherheits,segurança,zrywać,rompimento
einlade,convidar,poprze,"Apoio, suporte"
bekanntlich,geralmente conhecido,miejskiego,cidade
scherzkeks,Palhaço,schowajcie,Esconder
schworen,jurar,ringo,ringo
windmühle,moinho de vento,gwoździe,unhas
telefonistin,telefonistin,skazano,condenado
abstoßen,repelir,rozgłos,publicidade
befruchtung,fertilização,konik,boneca
vir,Vir,imprezą,Festa
prachtvoll,magnificamente,dawało,deram
hinzukriegen,hinzukriegen,martho,Martha
näht,costurado,rzeźby,esculturas
henshaw,henshaw,stawie,Lago
spanischer,espanhol,rozbija,rompe
blumenladen,floricultura,urządzamy,dispostos a
